provider_id,name,geography_level,province,dguid,population,population_year,portal_url,portal_license_name,portal_license_url,contact,notes
,District of Peachland,,BC,,,,https://peachland2017-01-16t194902237z-rdco.opendata.arcgis.com/,,,,
,City of Penticton,,BC,,,,https://open.penticton.ca/,,,,
,City of Port Coquitlam,,BC,,,,https://data-poco.hub.arcgis.com/,,,,
,City of Port Moody,,BC,,,,https://data.portmoody.ca/,,,,
,City of Prince George,,BC,,,,https://data-cityofpg.opendata.arcgis.com/,,,,
,District of Saanich,,BC,,,,https://opendata-saanich.hub.arcgis.com/,,,,
,District of Squamish,,BC,,,,https://data.squamish.ca/,,,,
,Strathcona Regional District,,BC,,,,https://data-strathconard.opendata.arcgis.com/,,,,
,District of Summerland,,BC,,,,https://open-data-summerland.hub.arcgis.com/,,,,
,Sunshine Coast Regional District,,BC,,,,https://data-myscrd.opendata.arcgis.com/,,,,
,City of Surrey,,BC,,,,https://data.surrey.ca/,,,,
,Thompson-Nicola Regional District,,BC,,,,https://my-tnrd.hub.arcgis.com/pages/opendata,,,,
,City of Vancouver,,BC,,,,https://opendata.vancouver.ca/pages/home/,,,,
,City of Vernon,,BC,,,,https://cov-open-data-vernon.hub.arcgis.com/,,,,
,City of Victoria,,BC,,,,https://opendata.victoria.ca/,,,,
,Westbank First Nation,,BC,,,,https://wfn-open-data-rdco.opendata.arcgis.com/,,,,
,The City of West Kelowna,,BC,,,,https://www.westkelownacity.ca/en/building-business-and-development/open-data.aspx,,,,
,District of West Vancouver,,BC,,,,https://westmap.westvancouver.ca/,,,,
,Resort Municipality of Whistler,,BC,,,,https://portal-rmow.opendata.arcgis.com/,,,,
,City of White Rock,,BC,,,,https://data.whiterockcity.ca/,,,,
,Government of Yukon,province,YT,,,,https://open.yukon.ca/data,,,,
,City of Whitehorse,,YT,,,,https://data.whitehorse.ca/,,,,
,Kluane First Nation,,YT,,,,https://lrh.kfn.ca/,,,,
,Government of the Northwest Territories,province,NT,,,,https://opendata.gov.nt.ca/,,,,
,City of Yellowknife,,NT,,,,https://opendata.yellowknife.ca/,,,,
,Government of Nunavut,province,NU,,,,https://gov.nu.ca/en,,,,
,Polar Data Catalogue,province,NU,,,,https://polardata.ca/,,,,
